Country,ISO3_Code,Region,Income_Group,Year,Crop,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,Fertilizer_Use_Kg_Ha,Irrigation_Pct,Notes,_source_file,_source_name,_extracted_at,_row_num,_cleaned_at
China,CHN,East Asia,Upper middle income,2001,Soybeans,3751494.0,12036421.75,3208.43,100.9,,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,1,2026-01-14T09:30:23.746169
Nepal,NPL,South Asia,Low income,1993,Maize,2112762.0,11377270.55,5385.02,19.14,9.8,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,2,2026-01-14T09:30:23.746169
South Korea,KOR,East Asia,High income,1995,Soybeans,1650777.0,7474101.16,4527.63,193.84,56.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,3,2026-01-14T09:30:23.746169
United States,USA,North America,High income,2018,Wheat,4782989.0,32397951.41,6773.58,205.12,62.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,4,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,2013,Rice,5434696.0,58322509.35,10731.51,211.64,61.4,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,5,2026-01-14T09:30:23.746169
United States,USA,North America,High income,2022,Wheat,1520076.0,15199442.37,9999.13,130.55,39.3,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,6,2026-01-14T09:30:23.746169
Canada,CAN,North America,High income,2013,Wheat,4111786.0,31885712.66,7754.71,215.27,45.5,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,7,2026-01-14T09:30:23.746169
Nepal,NPL,South Asia,Low income,1998,Soybeans,1774023.0,3078580.21,1735.37,21.61,11.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,8,2026-01-14T09:30:23.746169
Thailand,THA,Southeast Asia,Upper middle income,2014,Maize,4344098.0,32868299.41,7566.2,172.78,29.6,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,9,2026-01-14T09:30:23.746169
Japan,JPN,East Asia,High income,1999,Wheat,2933697.0,12751948.06,4346.72,159.49,41.1,,crop_production_1990_2023.csv,fao_crop_production,2026-01-14T09:30:13.131857,10,2026-01-14T09:30:23.746169
